rebrickable_fig_num,bricklink_minifig_id,match_score,trusted
fig-000003,cas145,85.5,yes
fig-000004,cas147,85.5,yes
fig-000004,cas148,85.5,yes
fig-000004,cas149,85.5,yes
fig-000004,cas150,85.5,yes
fig-004420,cas151,90.0,yes
fig-000251,cas152,86.8,yes
fig-000004,cas153,85.5,yes
fig-000004,cas154,85.5,yes
fig-000004,cas155,85.5,yes
fig-000004,cas157,85.5,yes
fig-000004,cas158,85.5,yes
fig-000004,cas159,85.5,yes
fig-000004,cas160,85.5,yes
fig-000004,cas161,85.5,yes
fig-000004,cas162,85.5,yes
fig-000004,cas164,85.5,yes
fig-000003,cas167,85.5,yes
fig-000007,cas169,85.5,yes
fig-000007,cas171,85.5,yes
fig-000004,cas173,85.5,yes
fig-000003,con001,85.5,yes
fig-000003,con002,85.5,yes
fig-000003,con003,85.5,yes
fig-000376,stu001,95.1,yes
fig-000129,stu002,100.0,yes
fig-006394,stu003,100.0,yes
fig-000301,stu005,90.0,yes
fig-000821,stu006,90.0,yes
fig-006691,stu008,88.3,yes
fig-000003,fire001,85.5,yes
fig-000004,fire002,85.5,yes
fig-000003,fire003,85.5,yes
fig-000003,fire004,85.5,yes
fig-001311,sw0038,91.4,yes
fig-003769,sw0980,100.0,yes
fig-002306,alp001,100.0,yes
fig-002428,alp002,100.0,yes
fig-002433,alp003,100.0,yes
fig-000096,alp004,100.0,yes
fig-002307,alp005,100.0,yes
fig-003449,alp007,100.0,yes
fig-000004,cas176,85.5,yes
fig-004420,cas178,90.0,yes
fig-000004,cas174,85.5,yes
fig-000004,cas175,85.5,yes
fig-000004,cas177,85.5,yes
fig-000004,cas179,85.5,yes
fig-000004,cas180,85.5,yes
fig-000004,cas181,85.5,yes
fig-000004,cas182,85.5,yes
fig-000004,cas183,85.5,yes
fig-000004,cas184,85.5,yes
fig-000004,cas185,85.5,yes
fig-000004,cas186,85.5,yes
fig-000004,cas187,85.5,yes
fig-000004,cas188,85.5,yes
fig-000004,cas189,85.5,yes
fig-000003,cas190,85.5,yes
fig-000004,cas191,85.5,yes
fig-000004,cas192,85.5,yes
fig-000004,cas193,85.5,yes
fig-000004,cas194,85.5,yes
fig-000004,cas195,85.5,yes
fig-000004,cas197,85.5,yes
fig-000004,cas198,85.5,yes
fig-000004,cas199,85.5,yes
fig-000004,cas200,85.5,yes
fig-000004,cas201,85.5,yes
fig-000003,firec001,85.5,yes
fig-000010,firec002,85.5,yes
fig-006691,firec003,88.3,yes
fig-000010,firec004,85.5,yes
fig-000003,firec005,85.5,yes
fig-000010,post001,85.5,yes
fig-000010,jail001,85.5,yes
fig-000003,firec006,85.5,yes
fig-000003,firec007,85.5,yes
fig-000003,cop001,85.5,yes
fig-001316,cop002,90.0,yes
fig-000003,cop003,85.5,yes
fig-006691,cop004,88.3,yes
fig-006691,cop005,86.7,yes
fig-001316,cop006,90.0,yes
fig-000003,cop007,85.5,yes
fig-000003,cop008,85.5,yes
fig-000003,cop009,85.5,yes
fig-000003,cop010,85.5,yes
fig-000010,air001,85.5,yes
fig-000004,doc001,85.5,yes
fig-000003,doc002,85.5,yes
fig-000003,doc003,85.5,yes
fig-010487,tech001,88.6,yes
fig-000005,mck004,85.5,yes
fig-000005,mck001,85.5,yes
fig-000007,hp011,85.5,yes
fig-006049,hp012,87.1,yes
fig-000032,hp008,85.5,yes
fig-000032,hp009,85.5,yes
fig-006050,hp010,100.0,yes
fig-016076,hp005,90.0,yes
fig-000005,hp001,85.5,yes
fig-014765,hp006,89.3,yes
fig-000004,hp007,85.5,yes
fig-000004,hp002,85.5,yes
fig-016076,hp004,90.0,yes
fig-004556,sw0040,90.0,yes
fig-000010,sw0041,85.5,yes
fig-006691,rac001,88.3,yes
fig-000020,rac002,85.5,yes
fig-006691,rac003,88.3,yes
fig-006691,rac004,88.3,yes
fig-000007,air017,85.5,yes
fig-000429,bikerb,100.0,yes
fig-000003,cop012,85.5,yes
fig-000003,doc004,85.5,yes
fig-000003,doc005,85.5,yes
fig-000007,doc006,85.5,yes
fig-000003,doc008,85.5,yes
fig-009468,doc007,86.0,yes
fig-000003,cop013,85.5,yes
fig-000010,post002,85.5,yes
fig-000005,oct001,85.5,yes
fig-000003,oct002,85.5,yes
fig-000010,exx001,85.5,yes
fig-000004,exx002,85.5,yes
fig-000010,hgh001,85.5,yes
fig-000010,shell001,85.5,yes
fig-000010,shell002,85.5,yes
fig-000010,doc009,85.5,yes
fig-000898,air002,90.0,yes
fig-000003,doc010,85.5,yes
fig-000003,air003,85.5,yes
fig-000010,air004,85.5,yes
fig-000003,cop014s,85.5,yes
fig-000010,air005,85.5,yes
fig-000010,air006,85.5,yes
fig-000005,cop015,85.5,yes
fig-000010,air007,85.5,yes
fig-000010,air008,85.5,yes
fig-000010,air009,85.5,yes
fig-000004,air010,85.5,yes
fig-000003,shell003,85.5,yes
fig-000010,air011,85.5,yes
fig-000003,air012,85.5,yes
fig-000038,boat001,85.5,yes
fig-000003,boat002,85.5,yes
fig-000003,boat003,85.5,yes
fig-000010,firec008,85.5,yes
fig-000003,hgh002,85.5,yes
fig-000003,doc011,85.5,yes
fig-000010,shell004,85.5,yes
fig-007983,soc001,87.7,yes
fig-000176,soc002,90.0,yes
fig-000176,soc003,90.0,yes
fig-000004,soc004,85.5,yes
fig-000004,soc005,85.5,yes
fig-000004,soc006,85.5,yes
fig-000005,soc007,85.5,yes
fig-000176,soc008,90.0,yes
fig-000315,soc009,105.5,yes
fig-000315,soc010,105.5,yes
fig-000176,soc011,90.0,yes
fig-000176,soc012,90.0,yes
fig-000176,soc013,90.0,yes
fig-000176,soc015,90.0,yes
fig-000315,soc016,105.5,yes
fig-000315,soc017,105.5,yes
fig-000176,soc018,90.0,yes
fig-000176,soc019,90.0,yes
fig-000176,soc020,90.0,yes
fig-000176,soc021,90.0,yes
fig-000315,soc022,105.5,yes
fig-000315,soc023,105.5,yes
fig-000176,soc024,90.0,yes
fig-000176,soc025,90.0,yes
fig-000176,soc026,90.0,yes
fig-000176,soc027,90.0,yes
fig-000315,soc028,105.5,yes
fig-000315,soc029,105.5,yes
fig-000176,soc030,90.0,yes
fig-000176,soc031,90.0,yes
fig-000176,soc032,90.0,yes
fig-000176,soc033,90.0,yes
fig-000315,soc034,105.5,yes
fig-000315,soc035,105.5,yes
fig-000176,soc036,90.0,yes
fig-000176,soc038,90.0,yes
fig-000176,soc039,90.0,yes
fig-000176,soc040,90.0,yes
fig-000176,soc041,90.0,yes
fig-000176,soc042,90.0,yes
fig-000176,soc043,90.0,yes
fig-000176,soc044,90.0,yes
fig-000003,soc046,85.5,yes
fig-000176,soc047,90.0,yes
fig-000010,soc048,85.5,yes
fig-000003,soc045,85.5,yes
fig-000004,ovr001,85.5,yes
fig-000004,ovr002,85.5,yes
fig-000010,ovr003,85.5,yes
fig-000005,ovr004,85.5,yes
fig-000010,trn068,85.5,yes
fig-000003,hgh003,85.5,yes
fig-000005,ovr005,85.5,yes
fig-000003,ovr006,85.5,yes
fig-000004,ovr007,85.5,yes
fig-000010,ovr008,85.5,yes
fig-000005,ovr009,85.5,yes
fig-000005,ovr010,85.5,yes
fig-006691,oct003,88.3,yes
fig-000003,ovr011,85.5,yes
fig-006691,s001,88.3,yes
fig-000003,s002,85.5,yes
fig-000004,s003,85.5,yes
fig-000005,ovr012,85.5,yes
fig-000004,s004,85.5,yes
fig-006691,s005,88.3,yes
fig-000010,doc012,85.5,yes
fig-000010,shell005,85.5,yes
fig-000005,ovr013,85.5,yes
fig-006691,s006,88.3,yes
fig-000003,s007,85.5,yes
fig-000010,ncklc001,85.5,yes
fig-008611,oct004,87.4,yes
fig-000003,s008,85.5,yes
fig-000004,cop016,85.5,yes
fig-000003,cop017,85.5,yes
