bricklink_minifig_id,avg_price,min_price,max_price
hp527,8.9570,6.2493,13.3200
hp528,4.9340,3.2456,7.9100
hp529,6.2666,3.2707,10.0500
hp530,5.0031,3.2456,6.8937
hp531,6.2439,4.6724,8.4256
hp532,4.7724,2.9350,8.6055
hp533,6.4015,5.0287,7.6597
hp534,6.6701,5.2188,8.0429
hp535,5.2415,3.6654,9.3750
hp536,4.0166,2.4527,7.1126
hp538,1.9436,1.1641,5.3618
hp539,2.0853,1.2500,5.3618
hp540,8.1268,5.2650,9.8038
hp541,7.1401,5.9500,8.6790
hp542,5.4226,4.5751,6.2500
hp543,2.5840,1.9608,3.2679
hp544,4.0588,1.2966,6.2500
hp545,4.3810,1.2966,9.3750
hp546,4.1461,1.2966,12.6150
hp547,4.8188,1.2966,9.3750
hp548,7.6597,7.6597,7.6597
hp549,8.4528,6.8918,10.4574
hp551,4.9126,3.0256,6.7995
hp553,6.7981,5.4500,8.9208
hp554,11.6595,10.6963,12.6226
hp556,6.0562,6.0562,6.0562
hp558,0.0000,0.0000,0.0000
hp561,0.0000,0.0000,0.0000
hp562,12.6226,12.6226,12.6226
hp563,8.1924,5.2565,9.5078
hp564,8.0135,5.2565,10.9900
hp565,7.7493,4.6187,10.9900
hp567,6.0926,2.8388,8.9900
hp572,6.3686,5.9503,7.0086
hp573,7.2544,7.2544,7.2544
hp574,5.5000,5.5000,5.5000
hp575,5.0033,4.3275,5.6790
hp577,3.2456,3.2456,3.2456
hp578,2.9180,1.5000,4.5980
hs012,2.9768,1.8313,12.0000
hs018,1.9099,1.0046,5.0700
hs058,2.3706,1.5185,4.0000
hs060,5.0742,3.3511,11.6810
hs075,4.7445,2.0439,15.8600
iaj001,7.4746,1.3626,75.0000
iaj002,5.2846,2.0000,26.0000
iaj006,9.1662,0.6813,20.7498
iaj012,4.4143,1.0000,29.9900
iaj020,10.8166,4.0879,29.9900
iaj038,8.5053,4.0000,39.6000
iaj048,3.8147,2.5000,9.5700
idea063,3.7571,1.7500,12.3000
ixs004,2.4753,0.4000,14.3443
jw023,1.8020,0.3631,25.0000
jw079,2.5465,1.3626,15.0000
jw082,3.0214,1.3410,15.0000
jw083,5.4823,3.2550,15.0000
loc009,2.1683,0.3631,8.5500
loc013,2.3022,0.3553,22.9900
loc017,1.8552,0.5188,20.9900
lor001,9.9307,2.5000,59.9900
lor005,14.3436,7.9690,49.9900
lor081,14.3343,6.2500,38.5706
lor088,15.3407,6.5359,42.5600
min012,2.2790,0.3504,25.0000
min090,3.1205,1.7411,7.5000
mof001,11.9649,3.0000,66.4600
mof014,5.2856,1.1681,28.4100
nba039,17.3082,8.4900,97.2900
nex008,3.8501,1.9196,9.8689
nex016,3.4940,1.7188,12.2500
nex022,4.5602,2.0675,29.6800
nex050,12.5475,7.6978,58.6800
nex126,6.4519,3.1889,28.0000
njo0001,27.6481,6.8131,55.9800
njo0002,12.1150,3.2813,142.2900
njo0003,9.6428,2.3362,130.0000
njo0004,12.8681,1.7522,39.9900
njo0005,8.4175,3.2707,49.6600
njo0006,15.1639,3.2108,68.0629
njo0007,13.5428,1.7522,75.8000
njo0008,3.3513,0.5447,32.6400
njo0009,62.1471,17.0000,336.7900
njo0010,3.7911,1.7522,17.2200
njo0011,4.1324,1.1564,30.2500
njo0012,14.5958,4.9608,135.5200
njo0013,7.2032,2.1875,50.6400
njo0014,97.2034,42.8745,436.7900
njo0015,43.5098,8.9900,336.0300
njo0016,203.7148,81.1405,703.3700
njo0017,7.7046,2.7256,111.0000
njo0018,41.9107,13.5677,160.7109
njo0019,8.7530,2.2740,116.4800
njo0020,3.5521,1.3000,46.1100
njo0021,3.6829,1.7522,23.6200
njo0022,4.7199,1.6071,43.3800
njo0023,2.9747,0.9078,20.0100
njo0024,7.7010,2.1318,59.9900
njo0025,9.3221,2.9404,85.4300
njo0026,6.2520,2.4647,64.7700
njo0027,9.0689,3.3713,65.9600
njo0028,7.2294,2.6507,53.0800
njo0029,7.1841,1.0000,43.1400
njo0030,10.4078,3.3758,148.0100
njo0031,13.2228,1.7685,80.2400
njo0032,16.5409,3.5043,134.0800
njo0033,4.8672,0.9654,32.0900
njo0034,7.0896,1.7904,69.7600
njo0035,4.4491,0.8000,29.7200
njo0036,6.2967,0.9900,53.8600
njo0037,22.8560,9.0000,94.6100
njo0038,29.3063,7.8125,204.3250
njo0039,15.8003,5.3538,78.0600
njo0040,31.8334,8.5938,224.0000
njo0041,9.3614,2.1786,40.7800
njo0042,14.1386,6.7500,125.3700
njo0043,18.9554,4.5000,165.3800
njo0044,23.7576,5.2676,149.5000
njo0045,13.5862,3.4700,64.4100
njo0046,7.2082,2.0383,39.1400
njo0047,13.7438,4.2500,100.1900
njo0048,13.5525,3.4495,70.3505
njo0049,78.7020,27.5958,340.5870
njo0050,11.1534,3.1994,40.6800
njo0051,3.8191,0.8094,33.8600
njo0052,16.1834,4.9743,90.6100
njo0053,8.9948,1.3523,33.9974
njo0054,13.3356,1.2966,143.3100
njo0055,102.0227,47.0000,517.9200
njo0056,7.4512,1.5500,49.7800
njo0057,103.8749,39.9940,503.2000
njo0058,7.3419,2.8957,37.2800
njo0059,24.3352,9.5982,58.0000
njo0060,41.3966,13.7979,177.1100
njo0061,250.4503,116.8101,1511.1300
njo0062,6.6402,0.7106,39.4300
njo0063,9.6412,3.4000,85.1400
njo0064,6.5205,1.8155,37.9700
njo0065,63.6360,32.6793,341.2500
njo0066,56.5061,15.6251,251.0900
njo0067,52.1341,21.0258,211.4800
